id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height,source
1618,Franc - Vas de toaletă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,VASE DE TOALETĂ,Franc,False,SUSPENDATE,Sanycces,,,,,,Finishes,,,,,,,sanycces
1619,Arc - Vas de toaletă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,VASE DE TOALETĂ,Arc,False,SUSPENDATE,Sanycces,,,,,,Finishes,,,,,,,sanycces
1620,Arc - Vas de toaletă,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,VASE DE TOALETĂ,Arc,False,CU PICIOR,Sanycces,,,,,,Finishes,,,,,,,sanycces
1621,Franc - Bideu,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BIDEURI,Franc,False,SUSPENDATE,Sanycces,,,,,,Finishes,,,,,,,sanycces
1622,Arc - Bideu I,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BIDEURI,Arc,False,SUSPENDATE,Sanycces,,,,,,Finishes,,,,,,,sanycces
1623,Arc - Bideu II,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,BIDEURI,Arc,False,CU PICIOR,Sanycces,,,,,,Finishes,,,,,,,sanycces
1624,Duna,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Duna,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,,sanycces
1625,Oasis,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Oasis,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,,sanycces
1626,Oasis semipedestal,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Oasis,False,DE BLAT,Sanycces,,,,,,Finishes,,,,,,,sanycces
1627,Tempo pedestal,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Tempo,False,FREESTANDING,Sanycces,,,,,,Finishes,,,,,,,sanycces
1628,Circo Joy,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Joy,False,FREESTANDING,Sanycces,,,,,,Finishes,,,,,,,sanycces
1629,Cuadra Joy,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,LAVOARE,Joy,False,FREESTANDING,Sanycces,,,,,,Finishes,,,,,,,sanycces
1630,Duna 170,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Duna,False,CAZI,Sanycces,,,,,,Finishes,,,,,,,sanycces
1631,Duna Ofuro,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Duna,False,CAZI,Sanycces,,,,,,Finishes,,,,,,,sanycces
1632,Tempo 170,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Tempo,False,CAZI,Sanycces,,,,,,Finishes,,,,,,,sanycces
1633,Arc Ø130,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Arc,False,CAZI,Sanycces,,,,,,Finishes,,,130 mm,,,,sanycces
1634,Oasis 170,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Oasis,False,CAZI,Sanycces,,,,,,Finishes,,,,,,,sanycces
1635,Calma 170,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,CAZI,Calma,False,CAZI,Sanycces,,,,,,Finishes,,,,,,,sanycces
1636,Duna pedestal - lavoare DUNA,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Sanycces,,,,,,Finishes,,,,,,,sanycces
1637,Oasis pedestal - lavoare OASIM,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Sanycces,,,,,,Finishes,,,,,,,sanycces
1638,Oasis semipedestal - lavoare OASIM,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Complements,False,PIEDESTALE,Sanycces,,,,,,Finishes,,,,,,,sanycces
1639,Calma - accesoriu pentru cadă CALMA,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,,sanycces
1640,Gregal,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,,sanycces
1641,Mistral,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,,sanycces
1642,Duna - Treaptă din plută neagră,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,,sanycces
1643,Isla alta | Isla baja,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,,sanycces
1644,Poniente,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,,,,,,,,sanycces
1645,Pool - Suport pentru prosoape,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,,sanycces
1646,Duna - accesorii,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,,sanycces
1647,Pool - Suport pentru hartie,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,,sanycces
1648,Cuadra Joy - Săpunieră,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,,,,,,,,sanycces
1649,Circo Joy - Săpunieră,Se pot vopsi în orice culoare RAL. Pentru mai multe informații legate de produsele SANYCCES vă rugăm să consultați catalogul producătorului.,sanitare,ACCESORII SI PIESE TEHNICE,Auxiliar,False,ACCESORII,Sanycces,,,,,,Finishes,,,,,,,sanycces
1700,RIO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
1701,PESCATORI,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
1702,CALLE,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
1703,PALAZZETTO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
1704,MUSEO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
1705,SALEPEPE,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
1706,GRAND-HOTEL,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
1707,CANALE,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
1708,PORTICI,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
1709,SAN MARCO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honedv",,,,Marble-cement,,,,,,,terrazzo italiano
1710,APERITIVO,"Marble-cement is obtained by mixing marble chipping selected according to their colour and their dimensions, and concrete fillers. When compared to marble-resin, it offers more solidity and a higher durability, a more unique tactile sensation and a much lower price thanks to the concrete fillers involved in the production, much cheaper than the special resins that are used to produce marble-resin materials.",terrazzo,GRANULATIE FINA,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
1711,STRADALLA,"Marble-resin is a special marble agglomerate obtained by the careful mixing of first choice marble granules, hand-picked according to their colour and their dimensions, and special high performance resins. Compared to the marble-cement it shows a much higher resistance to acids and stains. From a more aesthetic point of view, marble-resin is defined by larger pebbles and stone fragments. During the process it can be cut into thinner slabs that will be lighter and easier to install, especially when large surfaces are involved.",terrazzo,GRANULATIE FINA,MARBLE-RESIN,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-resin,,,,,,,terrazzo italiano
1712,RIALTO,"Marble-resin is a special marble agglomerate obtained by the careful mixing of first choice marble granules, hand-picked according to their colour and their dimensions, and special high performance resins. Compared to the marble-cement it shows a much higher resistance to acids and stains. From a more aesthetic point of view, marble-resin is defined by larger pebbles and stone fragments. During the process it can be cut into thinner slabs that will be lighter and easier to install, especially when large surfaces are involved.",terrazzo,GRANULATIE MEDIE,Marble-cement,False,,Terrazzo Italiano,,"Polished, Brushed, Honed",,,,Marble-cement,,,,,,,terrazzo italiano
